あなたが出品者・ショップをフォローする理由や、フォローした出品者・ショップを確認する目的について、できるだけ詳しくお書きください。（任意回答）,あなたは、ビデオ通話に参加するために必要なWebカメラやマイクをお持ちですか。※ パソコンに内蔵されているものも含みます,Buyer segment,あなたの職業として当てはまるものを一つだけお選びください。※職業が複数ある方は、主な収入源となっている職業をお選びください,お客さまインタビューへの参加が可能な日時をできるだけ選択してください。※インタビューへのご参加をお願いする場合、こちらの回答を参考にスケジュールを調整させていただきます,Follow segment,メルカリで検索条件を保存する機能やフォロー機能について、あなたのお買い物における重要度として最も当てはまるものをそれぞれお選びください。,YouTubeの登録チャンネルタブ（自分がフォローしているチャンネルの新着一覧などが表示されている画面）を見る頻度として最も当てはまるものを一つお選びください。,あなたが「いいね！」タブ（※）を見る頻度として、最も当てはまるものを一つお選びください。※「いいね！」タブとは、メルカリアプリ左下の「いいね！」ボタンをタップした時に出てくる画面（画像参照）のことを指します。,メルカリで検索条件を保存する機能やフォロー機能について、あなたのお買い物における利用状況として最も当てはまるものをそれぞれお選びください。,今までに、フォローしている出品者からフォロー後に商品を購入したことは何回ありますか。最も当てはまるものを一つお選びください。,あなたの年代をお選びください。,あなたの性別をお選びください。,あなたがお住まいの都道府県をお選びください。,インタビューの中で、途中あなたのスマートフォンからメルカリアプリの画面と操作のご様子を画面共有いただきながらお話を伺うことは可能ですか。,フォロー機能を前問で回答した目的で利用する頻度として、当てはまるものをそれぞれ一つお選びください。,この度の調査では後日、「Google Meet」を利用し、ビデオ通話にてインタビューをさせていただく可能性があります。あなたは、ビデオ通話でのインタビューにご参加いただくことは可能ですか？,respondent_id,上記以外の日程のインタビュー実施時に、日程調整のご連絡をしてよろしいですか？
,,1.Buyer Super heavy,会社員（正社員）,,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,男性,その他,,非常によくある,いいえ,119075672876.0,
その他,持っている,1.Buyer Super heavy,会社員（正社員）,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,大阪府,はい,,はい,119075650459.0,はい
,持っている,3.Buyer Middle,自営業・フリーランス,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,40代,女性,東京都,はい,たまにある,はい,119075659405.0,はい
その他,,1.Buyer Super heavy,その他,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,その他,男性,その他,,非常によくある,いいえ,119075671283.0,
その他,持っている,2.Buyer Heavy,パート・アルバイト,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,愛知県,はい,非常によくある,はい,119075622245.0,はい
その他,持っている,2.Buyer Heavy,専業主婦・主夫,,4.Follow Light (1-17),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,女性,東京都,はい,,はい,119075669483.0,はい
その他,持っていない,1.Buyer Super heavy,専業主婦・主夫,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,その他,はい,,はい,119075667099.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,10:00-11:00,4.Follow Light (1-17),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,40代,女性,東京都,はい,たまにある,はい,119075655665.0,はい
その他,持っていない,1.Buyer Super heavy,専業主婦・主夫,,3.Follow Middle (18-34),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,東京都,はい,たまにある,はい,119075659357.0,はい
その他,持っている,2.Buyer Heavy,会社員（正社員）,10:00-11:00,4.Follow Light (1-17),非常に重要である,"2,3日に1回くらい見る",1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,男性,大阪府,はい,非常によくある,はい,119075669076.0,はい
その他,持っている,3.Buyer Middle,学生（大学生・大学院生・専門学生）,10:00-11:00,3.Follow Middle (18-34),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,20代,男性,その他,いいえ,,はい,119075671568.0,はい
その他,持っている,2.Buyer Heavy,自営業・フリーランス,,1.Follow Super Heavy (80+),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,60代,女性,その他,いいえ,,はい,119075637735.0,はい
その他,持っている,2.Buyer Heavy,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,50代,女性,その他,はい,,はい,119075668138.0,はい
その他,持っている,3.Buyer Middle,学生（大学生・大学院生・専門学生）,,4.Follow Light (1-17),どちらでもない,,その他,その他,フォローしている出品者から商品を購入したことはない,20代,女性,その他,はい,たまにある,はい,119075659487.0,はい
,持っている,3.Buyer Middle,会社員（正社員）,10:00-11:00,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,40代,男性,神奈川県,はい,,はい,119075672479.0,はい
その他,持っている,3.Buyer Middle,会社員（正社員）,,2.Follow Heavy (35-79),ある程度重要である,"2,3日に1回くらい見る",1日に1回以上見る,過去に利用していたが現在は使っていない,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,その他,はい,非常によくある,はい,119075661988.0,はい
その他,持っている,3.Buyer Middle,会社員（正社員）,,1.Follow Super Heavy (80+),ある程度重要である,1日に1回以上見る,1日に1回以上見る,過去に利用していたが現在は使っていない,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,男性,東京都,はい,ときどきある,はい,119075671238.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から商品を購入したことはない,50代,男性,その他,はい,,はい,119075663494.0,はい
その他,持っている,1.Buyer Super heavy,その他,10:00-11:00,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,60代,男性,その他,はい,,はい,119075659128.0,はい
,持っている,3.Buyer Middle,会社員（正社員）,,2.Follow Heavy (35-79),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,男性,大阪府,はい,,はい,119075672731.0,はい
その他,持っていない,3.Buyer Middle,会社員（正社員）,,1.Follow Super Heavy (80+),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から合計5回以上購入している,30代,男性,その他,はい,,はい,119075668820.0,はい
その他,持っている,1.Buyer Super heavy,専業主婦・主夫,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,30代,女性,その他,はい,非常によくある,はい,119075663728.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,,1.Follow Super Heavy (80+),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,50代,女性,東京都,はい,非常によくある,はい,119075664512.0,はい
その他,持っている,3.Buyer Middle,自営業・フリーランス,,2.Follow Heavy (35-79),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,60代,女性,神奈川県,はい,ときどきある,はい,119075651675.0,はい
その他,持っている,3.Buyer Middle,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,20代,男性,千葉県,はい,ときどきある,はい,119075667950.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,10:00-11:00,4.Follow Light (1-17),非常に重要である,,1週間に1回くらい見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,30代,女性,大阪府,はい,非常によくある,はい,119075657739.0,はい
その他,持っている,4.Buyer Light,専業主婦・主夫,,4.Follow Light (1-17),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,愛知県,はい,,はい,119075669985.0,はい
その他,持っていない,2.Buyer Heavy,その他,10:00-11:00,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,40代,女性,千葉県,はい,,はい,119075658247.0,はい
その他,持っていない,3.Buyer Middle,会社員（正社員）,,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,40代,女性,その他,はい,非常によくある,はい,119075667847.0,はい
その他,持っていない,1.Buyer Super heavy,その他,,3.Follow Middle (18-34),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,その他,男性,その他,いいえ,たまにある,はい,119075654224.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,10:00-11:00,2.Follow Heavy (35-79),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,50代,女性,その他,はい,非常によくある,はい,119075661130.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,,4.Follow Light (1-17),どちらでもない,,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,20代,女性,神奈川県,はい,,はい,119075666944.0,はい
その他,持っている,3.Buyer Middle,会社員（正社員）,,3.Follow Middle (18-34),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,50代,女性,東京都,いいえ,,はい,119075663891.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,,2.Follow Heavy (35-79),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,神奈川県,はい,非常によくある,はい,119075664332.0,はい
その他,持っている,1.Buyer Super heavy,学生（大学生・大学院生・専門学生）,10:00-11:00,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,その他,男性,その他,はい,,はい,119075668763.0,はい
その他,持っている,3.Buyer Middle,パート・アルバイト,,1.Follow Super Heavy (80+),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,大阪府,はい,,はい,119075656482.0,はい
その他,持っている,3.Buyer Middle,その他,,4.Follow Light (1-17),ある程度重要である,,その他,その他,フォローしている出品者から購入したのは、これまでに1回だけである,60代,男性,千葉県,はい,,はい,119075663725.0,はい
その他,持っている,4.Buyer Light,自営業・フリーランス,,2.Follow Heavy (35-79),どちらでもない,,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,40代,女性,千葉県,いいえ,,はい,119075664070.0,はい
,持っている,2.Buyer Heavy,会社員（正社員）,,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,男性,神奈川県,はい,,はい,119075668065.0,はい
その他,持っている,3.Buyer Middle,会社員（正社員）,,2.Follow Heavy (35-79),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,40代,女性,その他,はい,非常によくある,はい,119075660424.0,はい
その他,持っていない,3.Buyer Middle,会社員（正社員）,,2.Follow Heavy (35-79),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,40代,男性,その他,はい,,はい,119075641128.0,はい
その他,持っている,2.Buyer Heavy,自営業・フリーランス,,1.Follow Super Heavy (80+),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,男性,愛知県,はい,非常によくある,はい,119075663732.0,はい
その他,持っている,4.Buyer Light,その他,,4.Follow Light (1-17),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から合計5回以上購入している,40代,女性,大阪府,はい,ときどきある,はい,119075662163.0,はい
,持っている,4.Buyer Light,専業主婦・主夫,,1.Follow Super Heavy (80+),非常に重要である,"2,3日に1回くらい見る","2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,20代,男性,東京都,はい,たまにある,はい,119075649640.0,はい
その他,持っている,2.Buyer Heavy,パート・アルバイト,10:00-11:00,2.Follow Heavy (35-79),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から合計5回以上購入している,50代,女性,神奈川県,はい,非常によくある,はい,119075662067.0,はい
その他,持っている,4.Buyer Light,学生（大学生・大学院生・専門学生）,,4.Follow Light (1-17),非常に重要である,1日に1回以上見る,1日に1回以上見る,その他,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,20代,男性,東京都,はい,たまにある,はい,119075657405.0,はい
その他,持っている,2.Buyer Heavy,会社員（正社員）,10:00-11:00,1.Follow Super Heavy (80+),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,女性,その他,はい,,はい,119075664719.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,,3.Follow Middle (18-34),ある程度重要である,,その他,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,30代,女性,その他,はい,,はい,119075660542.0,はい
その他,持っている,2.Buyer Heavy,その他,,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,その他,女性,その他,はい,,いいえ,119075654026.0,
その他,持っていない,2.Buyer Heavy,専業主婦・主夫,,3.Follow Middle (18-34),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から商品を購入したことはない,40代,女性,東京都,はい,,はい,119075660301.0,はい
,持っている,4.Buyer Light,会社員（正社員）,10:00-11:00,4.Follow Light (1-17),非常に重要である,1日に1回以上見る,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,40代,男性,東京都,はい,,はい,119075661700.0,はい
,持っていない,4.Buyer Light,パート・アルバイト,,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,30代,女性,愛知県,はい,,はい,119075666105.0,はい
その他,持っている,2.Buyer Heavy,パート・アルバイト,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,東京都,はい,たまにある,はい,119075662978.0,はい
その他,持っている,4.Buyer Light,学生（大学生・大学院生・専門学生）,,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,その他,男性,その他,はい,非常によくある,はい,119075654696.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,10:00-11:00,3.Follow Middle (18-34),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,40代,女性,東京都,はい,その他,はい,119075663041.0,はい
その他,持っている,2.Buyer Heavy,その他,,4.Follow Light (1-17),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,50代,女性,その他,はい,,はい,119075659263.0,はい
,持っている,2.Buyer Heavy,専業主婦・主夫,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,,20代,女性,東京都,はい,,はい,119075664895.0,はい
,持っていない,2.Buyer Heavy,パート・アルバイト,10:00-11:00,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,30代,女性,大阪府,はい,,はい,119075665189.0,はい
その他,持っている,4.Buyer Light,学生（大学生・大学院生・専門学生）,,4.Follow Light (1-17),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,女性,その他,はい,,はい,119075664756.0,はい
その他,持っていない,2.Buyer Heavy,専業主婦・主夫,10:00-11:00,1.Follow Super Heavy (80+),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,60代,女性,その他,はい,非常によくある,はい,119075653899.0,はい
その他,持っている,3.Buyer Middle,パート・アルバイト,10:00-11:00,4.Follow Light (1-17),ある程度重要である,,その他,過去に利用していたが現在は使っていない,フォローしている同じ出品者から合計5回以上購入している,その他,女性,その他,はい,,はい,119075658483.0,はい
その他,,2.Buyer Heavy,自営業・フリーランス,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,女性,その他,,たまにある,いいえ,119075663488.0,
その他,持っていない,3.Buyer Middle,専業主婦・主夫,10:00-11:00,2.Follow Heavy (35-79),ある程度重要である,1週間に1回くらい見る,その他,過去に利用していたが現在は使っていない,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,東京都,いいえ,非常によくある,はい,119075656180.0,はい
,持っている,4.Buyer Light,会社員（正社員）,,3.Follow Middle (18-34),ある程度重要である,1日に1回以上見る,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,男性,その他,はい,,はい,119075663888.0,はい
その他,持っている,4.Buyer Light,学生（大学生・大学院生・専門学生）,,3.Follow Middle (18-34),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,20代,男性,大阪府,はい,ときどきある,はい,119075659369.0,はい
その他,持っている,2.Buyer Heavy,自営業・フリーランス,,4.Follow Light (1-17),その他,,1週間に1回くらい見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,40代,女性,東京都,はい,ときどきある,はい,119075660194.0,はい
その他,持っている,1.Buyer Super heavy,学生（大学生・大学院生・専門学生）,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,20代,男性,大阪府,いいえ,非常によくある,はい,119075653055.0,はい
その他,持っている,3.Buyer Middle,自営業・フリーランス,,2.Follow Heavy (35-79),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,女性,その他,はい,,はい,119075654988.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,10:00-11:00,3.Follow Middle (18-34),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,30代,男性,その他,はい,ときどきある,はい,119075659288.0,はい
,持っている,2.Buyer Heavy,会社員（正社員）,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,50代,女性,大阪府,はい,,はい,119075658895.0,はい
その他,持っていない,2.Buyer Heavy,その他,,2.Follow Heavy (35-79),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,女性,東京都,はい,,はい,119075646830.0,はい
,持っている,1.Buyer Super heavy,会社員（正社員）,10:00-11:00,3.Follow Middle (18-34),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,千葉県,はい,非常によくある,はい,119075633851.0,はい
,持っている,1.Buyer Super heavy,会社員（正社員）,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,50代,男性,その他,はい,,はい,119075658902.0,はい
その他,持っていない,1.Buyer Super heavy,会社員（正社員）,,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,男性,千葉県,はい,非常によくある,はい,119075652443.0,はい
,持っている,4.Buyer Light,その他,,4.Follow Light (1-17),どちらでもない,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,20代,女性,その他,はい,,はい,119075663181.0,はい
その他,持っている,3.Buyer Middle,パート・アルバイト,,4.Follow Light (1-17),その他,,1日に1回以上見る,過去に利用していたが現在は使っていない,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,女性,その他,はい,,はい,119075661023.0,はい
その他,持っている,3.Buyer Middle,会社員（正社員）,,3.Follow Middle (18-34),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,東京都,はい,非常によくある,はい,119075657730.0,はい
,持っている,2.Buyer Heavy,パート・アルバイト,,1.Follow Super Heavy (80+),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,女性,千葉県,はい,ときどきある,はい,119075654350.0,はい
その他,持っている,3.Buyer Middle,パート・アルバイト,,3.Follow Middle (18-34),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,神奈川県,はい,,はい,119075651494.0,はい
その他,持っている,3.Buyer Middle,会社員（正社員）,,4.Follow Light (1-17),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,東京都,はい,たまにある,はい,119075656354.0,はい
その他,持っている,3.Buyer Middle,専業主婦・主夫,10:00-11:00,4.Follow Light (1-17),非常に重要である,,1週間に1回くらい見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,その他,はい,,はい,119075660572.0,はい
その他,持っている,2.Buyer Heavy,会社員（正社員）,,4.Follow Light (1-17),ある程度重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,30代,女性,東京都,はい,,はい,119075657299.0,はい
その他,持っていない,4.Buyer Light,自営業・フリーランス,,2.Follow Heavy (35-79),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,30代,女性,その他,はい,たまにある,はい,119075656777.0,はい
,持っている,4.Buyer Light,その他,10:00-11:00,3.Follow Middle (18-34),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,,50代,女性,東京都,はい,,はい,119075655094.0,はい
その他,持っていない,2.Buyer Heavy,専業主婦・主夫,,2.Follow Heavy (35-79),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,その他,はい,非常によくある,はい,119075653593.0,はい
その他,持っていない,3.Buyer Middle,会社員（正社員）,,3.Follow Middle (18-34),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,50代,男性,その他,はい,,はい,119075641950.0,はい
その他,持っている,1.Buyer Super heavy,専業主婦・主夫,,3.Follow Middle (18-34),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,40代,女性,東京都,はい,,はい,119075623578.0,いいえ
その他,持っている,3.Buyer Middle,その他,10:00-11:00,2.Follow Heavy (35-79),非常に重要である,"2,3日に1回くらい見る",1週間に1回くらい見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,神奈川県,はい,たまにある,はい,119075601669.0,はい
その他,持っている,4.Buyer Light,学生（大学生・大学院生・専門学生）,,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,20代,女性,その他,はい,,はい,119075657631.0,はい
,持っていない,2.Buyer Heavy,その他,10:00-11:00,3.Follow Middle (18-34),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,20代,女性,東京都,はい,ときどきある,はい,119075655897.0,はい
,持っている,4.Buyer Light,専業主婦・主夫,,3.Follow Middle (18-34),,,1日に1回以上見る,過去に利用していたが現在は使っていない,,40代,女性,その他,いいえ,,はい,119075660801.0,はい
その他,持っている,2.Buyer Heavy,学生（大学生・大学院生・専門学生）,,4.Follow Light (1-17),その他,1日に1回以上見る,"2,3日に1回くらい見る",その他,フォローしている出品者から商品を購入したことはない,20代,男性,東京都,はい,,はい,119075655668.0,はい
その他,持っている,1.Buyer Super heavy,専業主婦・主夫,,2.Follow Heavy (35-79),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,20代,女性,大阪府,はい,非常によくある,はい,119075655664.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,,4.Follow Light (1-17),どちらでもない,,1日に1回以上見る,過去に利用していたが現在は使っていない,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,女性,東京都,はい,非常によくある,はい,119075656161.0,はい
その他,持っている,2.Buyer Heavy,その他,,3.Follow Middle (18-34),その他,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,30代,女性,東京都,はい,,はい,119075654341.0,はい
その他,持っている,2.Buyer Heavy,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,30代,女性,千葉県,はい,,はい,119075654394.0,はい
その他,持っていない,1.Buyer Super heavy,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,その他,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,男性,その他,はい,ときどきある,はい,119075647703.0,はい
その他,持っていない,4.Buyer Light,会社員（正社員）,,4.Follow Light (1-17),ある程度重要である,"2,3日に1回くらい見る","2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,女性,その他,はい,,はい,119075648237.0,はい
,持っている,4.Buyer Light,会社員（正社員）,10:00-11:00,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,男性,神奈川県,はい,,はい,119075656788.0,はい
その他,持っている,2.Buyer Heavy,パート・アルバイト,,1.Follow Super Heavy (80+),ある程度重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,女性,東京都,はい,ときどきある,はい,119075647797.0,はい
,持っている,4.Buyer Light,会社員（正社員）,,2.Follow Heavy (35-79),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,男性,千葉県,はい,,はい,119075651656.0,はい
,持っている,4.Buyer Light,自営業・フリーランス,10:00-11:00,2.Follow Heavy (35-79),非常に重要である,,その他,現在利用している,,50代,女性,千葉県,はい,,はい,119075654226.0,はい
,持っている,4.Buyer Light,その他,10:00-11:00,3.Follow Middle (18-34),,,"2,3日に1回くらい見る",過去に利用していたが現在は使っていない,,40代,男性,その他,はい,,はい,119075657312.0,はい
その他,持っている,2.Buyer Heavy,自営業・フリーランス,10:00-11:00,3.Follow Middle (18-34),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,男性,東京都,はい,ときどきある,はい,119075654184.0,はい
